point,point_normalized,easting,northing,elevation,description,horizontal_datum,vertical_datum,coordinate_system,latitude,longitude,original_easting,original_northing,original_elevation,original_horizontal_datum,original_vertical_datum,conversion_method,conversion_status,validation_status,validation_flags,source_page,source_pdf
219,219,746147.1343,770035.7575,20.538,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 219 LB642",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4519001219,-81.7249882962,746145.86,770035.38,21.72,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
220,220,747148.1453,770106.6884,20.187,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 220 LB642",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4520893434,-81.7219283826,747146.87,770106.32,21.37,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
221,221,748204.4562,770162.8892,20.6364,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 221 LB642",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4522376418,-81.7186995416,748203.18,770162.53,21.82,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
222,222,749207.3569,770231.9608,19.7342,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 222 LB642",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4524216019,-81.7156338471,749206.08,770231.61,20.92,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
223,223,750200.8075,770295.9029,20.4822,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 223 LB642",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4525914421,-81.7125970618,750199.53,770295.56,21.67,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
224,224,751202.9178,770349.9153,19.3504,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 224 LB642",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4527338456,-81.709533869,751201.64,770349.58,20.54,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
225,225,752217.2083,770414.878,20.5282,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 225 LB642",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4529062329,-81.706433366,752215.93,770414.55,21.72,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
226,226,753097.7883,770461.572,20.4691,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 226 LB642",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4530291407,-81.7037416532,753096.51,770461.25,21.66,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
227,227,753977.3682,770510.6063,17.8576,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 227 LB642",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4531584427,-81.7010529755,753976.09,770510.29,19.05,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
228,228,752924.1192,771459.2732,19.6588,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 228 LB642",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4557750738,-81.7042654402,752922.84,771458.95,20.85,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
402,402,754506.278,770593.3131,29.6948,FOUND NGS BENCHMARK F779,NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4533825907,-81.6994358343,754505,770593,30.89,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
501,501,752691.0708,774080.3452,21.8405,FOUND NGS CONTROL POINT 46 26 22 01,NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4629875248,-81.7049593607,752689.79,774080.02,23.03,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
600,600,752817.8096,771948.5239,20.6004,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 600 LB642",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4571217516,-81.7045869356,752816.53,771948.2,21.79,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
601,601,752716.2803,772438.5449,21.6305,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 601 LB642",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4584705175,-81.7048938216,752715,772438.22,22.82,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
602,602,752768.6107,773440.6746,21.391,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 602 LB642",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4612272022,-81.704726839,752767.33,773440.35,22.58,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
603,603,752760.9107,773689.4547,23.7696,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 603 LB642",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4619116834,-81.7047486286,752759.63,773689.13,24.96,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
604,604,752831.4307,773359.4442,21.9291,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 604 LB642",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4610033276,-81.7045353942,752830.15,773359.12,23.12,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
